Title,Id,Trailer Link,Director,Cast,genre_ids,Genre,Budget,Revenue,Overview,Homepage,Year,Runtime,Popularity,Adult,Release_Date,Original_Title,Original_Language,Tagline,Vote_Average,Vote_Count
Samrat & Co.,266556,,Kaushik Ghatak,"['Rajeev Khandelwal', 'Madalasa Sharma', 'Gopal Datt', 'Girish Karnad', 'Priyanshu Chatterjee', 'Shreya Narayan', 'Indraneil Sengupta', 'Barkha Bisht', 'Ravi Jhankal', 'Puja Gupta']",,"Action, Mystery, Crime, Thriller, Romance",0,0,"A young, beautiful and rich girl, Dimpy Singh, approaches Samrat Tilakdhari, a private investigator, with a strange case. Their garden got ruined for reasons that appear natural but are not known; leading horticulturists have examined the fading plants but they have not been able to identify the probable reason. Further, her father's favorite horse died; once again the reason for the pre-mature death remains a mystery. That's not the end; Dimpy's father Mahendra Pratap Singh, otherwise a very strong and balanced man, has been experiencing deteriorating health. All these aspects when combined makes the case sound weird and that grabs the attention of Samrat. Samrat along with his assistant friend, Chakradhar Pandey, visits the huge estate of Mahendra Pratap Singh. As he starts investigating, he discovers lots of mysterious facts.",,2014,125,1.614,False,2014-04-25,Samrat & Co.,hi,Get Ready for the Dilchasp Rahasya Ride,4.7,3
Purani Jeans,265289,https://www.youtube.com/watch?v=Ht0Nj0oxsFo,,"['Izabelle Leite', 'Aditya Seal', 'Tanuj Virwani', 'Sarika', 'Rati Agnihotri']",,Romance,0,0,"Purani Jeans is a film based on the belief that friendship is like a pair of old jeans—the more you wear them the better it gets. The summer now unfolds more dramatically as the boys make detrimental choices—of love, sex, friendship, jealousy, heartbreaks & betrayal, finally leading to broken bonds of friendship. The film travels with Siddharth as he explores equations with his past—to rebuild friendships with his four friends whom he grew up with in a small town in Himachal Pradesh in India. When Siddharth lands in India from the US, ghosts from his youth loom up. He finally overcomes the complications and sets right all the wrongs done in his past & rediscovers bonds of friendship.I n the end Siddharth goes back to New York a better man; reconciled with his past & most importantly rediscovering a happier today. He returns to New York with the belief that friendship is indeed like Purani Jeans, the older the better!!",,2014,0,1.56,False,2014-05-02,Purani Jeans,hi,,4.8,5
Kya Dilli Kya Lahore,268534,https://www.youtube.com/watch?v=Oy96lq-Nhx4,Vijay Raaz,"['Vijay Raaz', 'Manu Rishi Chadha', 'Raj Zutshi', 'Vishwajeet Pradhan']",,"Drama, History, War",0,0,"In 1948, a cross-fire erupts at an isolated stretch of Indo-Pak border, leaving only two soldiers alive. One is an Indian soldier of Pakistani origin while the other happens to be a Pakistani soldier of Indian origin. An ironic story of pride and survival begins when - in an attempt to evade danger, they bump into each other. And amidst continuous exchange of bullets, altercations and murkier situations, it evolves into a journey of human connection with an unforeseeable end.",http://kyadillikyalahore.com/,2014,98,1.318,False,2014-05-02,Kya Dilli Kya Lahore,hi,,8.0,6
Angry Young Man,873771,,Marc Lucas,"['James Troup', 'Adam Gibson', 'Tara Erickson', 'Liam Dow']",,Drama,0,0,"William has a history of getting into fist fights at school. After his most recent fight, William's father, Malcolm, is notified that if the fights don't stop the school will have no choice but to launch an investigation into the home. In discussing how to best reach their son Malcolm and Heather's solutions diverge, leaving the parents at odds,",,2020,10,0.6,False,2020-12-12,Angry Young Man,en,,0.0,0
Kahin Hai Mera Pyar,306418,https://www.youtube.com/watch?v=pOtYJ9BnwPU,Mahesh Vaijnath Doijode,"['Gajendra Chouhan', 'Sanjay Kapoor', 'Jackie Shroff', 'Sonia Mann', 'Kishori Shahane']",,"Drama, Music, Romance",0,0,"Every youth's imagination of love that relates the story of Adam & Eve, known since ages and shot very first time in the Hindi Language in India. Natures own creation Adam and Eve believed to be in heaven, were incited by a python to eat a fruit. Eve ate the fruit and then fed it to Adam. They were forbidden to have it and on eating it were exiled from Heaven. A painter, Karan, who is getting blur images of a girl is trying to produce it on canvas, he writes at the bottom of all the portraits 'Kahin Hai Mera Pyar' as a sign of his belief that his love exists somewhere! A businessman buys all portraits this provokes Karan's feeling and he opts to search for his love more vigorously as the story unfolds further.",,2014,138,1.094,False,2014-05-01,Kahin Hai Mera Pyar,hi,,0.0,0
Hawaa Hawaai,268860,,Amole Gupte,"['Makrand Deshpande', 'Partho A. Gupte', 'Neha Joshi', 'Saqib Saleem', 'Srishti Sharma', 'Mahesh Balraj', 'Rekha Kamat', 'Anuj Sachdeva']",,"Drama, Family",1460000,1505000,"Hawaa Hawaai is a story of the triumph of the human spirit; friendship and enjoying the journey of making ones dream come true. Arjun moves to the big city along with his mother and little sister. Out there he discovers a hidden world of in-line skating through coach Lucky, who mentors kids to become skating champions. While Arjun starts nursing the dream to learn skating under Lucky, his four friends get together to make this dream come true for him. In this endearing story of hope and aspirations, will Arjun's dreams take flight?",,2014,120,1.019,False,2014-05-09,Hawaa Hawaai,hi,,7.5,11
Khwaabb,316824,,Zaid Ali Khan,"['Navdip Singh', 'Simer Motiani', 'Nafisa Ali']",,,0,0,"Khwaab is a story about the birth of a dream, of ambition and the fierce passion to achieve that dream amidst unceasing tribulations. This intense personal journey is set in the larger, bureaucratic world of Indian sports. It illustrates why a country with a population of 1.2 billion people cannot produce medal-winning athletes. How sheer, raw talent gets wasted or destroyed by corrupt politicians and power hungry bureaucrats. Khwaab is the story of one such athlete and her struggle to succeed in the cut-throat, debauched and mired world of Indian sports.",,2014,101,1.124,False,2014-05-09,Khwaabb,hi,,7.0,1
Koyelaanchal,269238,https://www.youtube.com/watch?v=W4mifFr3Zsk,Ashu Trikha,"['Vinod Khanna', 'Roopali Krishnarao', 'Suniel Shetty', 'Ravi Singh', 'Vipinno']",,,0,0,"Koyelaanchal (coal belt of India) brings to light the explosive story of the people who have kept our precious fuel station at ransom for centuries. Koyelaanchal unveils itself through Saryu Bhan Singh (Vinod Khanna),an ex-owner turned Mafioso of the region, who through his sheer brutality & blatant defiance of law of the land, forces the people & the authorities to acknowledge him as their 'maalik'. Any protest, any voice of dissent against him is dealt with spine chilling violence of epic proportions.",,2014,146,1.334,False,2014-05-09,Koyelaanchal,hi,,6.9,4
Manjunath,316846,https://www.youtube.com/watch?v=7nPY6O8XDv8,Sandeep A. Varma,"['Anjori Alagh', 'Seema Biswas', 'Divya Dutta', 'Satiiysh Saarathy Sasho', 'Asif Basra']",,Drama,0,0,"Shanmugam Manjunath, an IIM student, who was killed for his stand against corruption and fuel adulteration.",,2014,0,0.6,False,2014-05-09,Manjunath,en,,0.0,0
Mastram,372084,,Akhilesh Jaiswal,"['Rahul Bagga', 'Tara Alisha Berry']",,Drama,300000,0,Rajaram is a small town bank clerk who dreams of travelling to Delhi and becoming a reputed writer. His litterateur aspirations are supported by none except his wife Renu.,,2014,99,6.993,False,2014-05-09,Mastram,hi,,3.6,5
Yeh Hai Bakrapur,372121,,Janaki Vishwanathan,"['Asif Basra', 'Faiz Khan', 'Anshuman Jha', 'Vinay Varma', 'Amit Sial']",,"Drama, Comedy",0,0,The film's story revolves around the family of the Qureshis and their pet animal goat. Circumstances result in the goat acquiring rock star status in his village and beyond.,,2014,95,0.719,False,2014-04-25,Yeh Hai Bakrapur,hi,,4.3,3
The Xposé,270417,https://www.youtube.com/watch?v=2GDC0QyIWm4,Ananth Narayan Mahadevan,"['Himesh Reshammiya', 'Yo Yo Honey Singh', 'Sonali Raut', 'Zoya Afroz', 'Ananth Narayan Mahadevan', 'Irrfan Khan', 'Rajesh Sharma', 'Adil Hussain', 'Daya Shankar Pandey']",,"Thriller, Drama, Crime",0,0,"This is a dramatic chain of events in the most glamorous ,swinging era of Hindi films... the 1960s. It was a decade when film stars tasted success and carried their larger than life screen image on to real life with unbridled pomp and splendour. It was during this time that two ambitious films were made... Ujwal Nirmal Sheetal and Reena Mera Naam. The latter became a runaway hit while the former was struggling at the box office.",,2014,113,1.466,False,2014-05-16,The Xposé,hi,Desire. Scandal. Murder.,5.3,7
Children of War,270567,https://www.youtube.com/watch?v=P3xWa-pBtdQ,Mrityunjay Devratt,"['Victor Banerjee', 'Raima Sen', 'Farooq Shaikh', 'Pavan Malhotra', 'Indraneil Sengupta', 'Tillotama Shome', 'Riddhi Sen', 'Rucha Inamdar', 'Shatrunjay Devvrat', 'Joy Sengupta']",,"Drama, History, War",0,0,"Children of War is a movie based on the true events of the 1971 Genocide. Can we, in search of power, become animals? A genocide; neglected! The first use of rape as a weapon of war; undocumented! The lives of millions; unaccounted! The culprits; unpunished!",,2014,160,2.915,False,2014-05-18,Children of War,hi,Would you go to war for peace? A war child's search for acceptance and a nation inundated in blood.,4.7,3
M3 – Midsummer Midnight Mumbai,413532,,,"['Sara Khan', 'Paras Chhabra', 'Milind Gunaji', 'Raju Kher', 'Kiran Kumar']",,,0,0,M3 – Midsummer Midnight Mumbai,,2014,0,0.6,False,2014-05-16,M3 – Midsummer Midnight Mumbai,en,,0.0,0
Heropanti,271200,,Sabbir Khan,"['Tiger Shroff', 'Kriti Sanon', 'Prakash Raj', 'Shireesh Sharma', 'Sandeepa Dhar', 'Vikram Singh', 'Sugandha Mishra', 'Raashul Tandon', 'Samar Jai Singh', 'Sunil Grover', 'Priyamvada Kant']",,"Romance, Action",4200000,10000000,Two young people find love despite the violent landscape in which they live.,,2014,146,4.492,False,2014-05-23,हीरोपंती,hi,,6.0,44
Blurred Citylights,731865,https://www.youtube.com/watch?v=gvHtfAn8eYs,Tsuyoshi Shôji,[],,Drama,0,0,The photographer Kikukawa is cursed. He's haunted by the ghost of a bikini beauty who keeps making stupid comments. But what does she really want to tell him? And are ghosts actually photogenic? Kikukawa sets out to find out.,,2016,18,0.6,False,2016-01-01,ピンぼけシティライツ,ja,,0.0,0
Kuku Mathur Ki Jhand Ho Gayi,316826,,,"['Siddharth Gupta', 'Simran Kaur Mundi', 'Pallavi Batra', 'Brijendra Kala', 'Siddharth Bhardwaj']",,,0,0,"Kuku Mathur Ki Jhand Ho Gayi[1] is a 2014 Hindi comedy, romance, drama film directed by Aman Sachdeva and produced by Ekta Kapoor &amp; Bejoy Nambiar.Siddharth Gupta is playing the title role in the film.",,2014,111,1.024,False,2014-05-30,Kuku Mathur Ki Jhand Ho Gayi,en,,5.8,6
