Title,Id,Trailer Link,Director,Cast,genre_ids,Genre,Budget,Revenue,Overview,Homepage,Year,Runtime,Popularity,Adult,Release_Date,Original_Title,Original_Language,Tagline,Vote_Average,Vote_Count
MySelf Ghaint,279080,,,[],,,0,0,"The story is about three friends, Ghaint, Abs, and Lehri who are living a normal life. Ghaint, who's real name is Deep Kainth falls into a huge trouble when he finds out that there is a man in the city with the same name as of his, and is very rich. A don of the city is behind the rich Deep Kainth of the city for extortion money.",,2014,113,0.6,False,2014-05-09,MySelf Ghaint,en,,0.0,0
Romeo Ranjha,269800,https://www.youtube.com/watch?v=u0bgMrmNknY,Navaniat Singh,"['Jazzy B', 'Monica Bedi', 'Parul Gulati', 'Yograj Singh', 'Rana Ranbir', 'Gopi Bhalla', 'Rana Jung Bahadur', 'Harby Sangha', 'Dolly Malkiat', 'Narinder Nina', 'Garry Sandhu']",,"Comedy, Action, Romance",0,0,The movie revolves around two common boys who travel from India to Thailand for success and money. How they cheat dons in Thailand and rob. The movie is a fast paced thriller showing the fun filled bromance between Rambo and Ranjha. It will surely take you on a thrill ride full of fun and joy.,,2014,0,1.543,False,2014-05-16,Romeo Ranjha,pa,,4.7,3
47 to 84: Hun Main Kisnu Watan Kahunga,272433,https://www.youtube.com/watch?v=dJZmHNCtgMY,Rajeev Sharma,"['Natasha Rana', 'Zafar Dhillon', 'Neelam Sivia', 'Aashish Duggal']",,Drama,0,0,A woman who witnessed the partition of India in 1947 experiences the riots of 1984.,,2014,128,0.6,False,2014-05-30,47 to 84: Hun Main Kisnu Watan Kahunga,pa,,0.0,0
Mundeyan Ton Bachke Rahin,272448,https://www.youtube.com/watch?v=QZ1uPD-_DpU,Navinder Pal Singh,"['Jassie Gill', 'Roshan Prince', 'Simran Kaur Mundi', 'Anita Devgan', 'Bharti Singh', 'Preeto Sawhney', 'Hobby Dhaliwal', 'Sunita Dhir', 'Manoj Sabharwal', 'Sunny Gill', 'Kamal Sangral', 'Gurjap Aulakh', 'Roozul Verma', 'Joshi Dharamgarch', 'Arvinder Bhatti', 'Anita Meet', 'Tarseem Kumar', 'Janat Bedi']",,"Comedy, Romance",0,0,"The film is romance comedy about two best friends, Roshan Prince & Jassi Gill who got their hearts broken at the age of 13 in school and then vow to never fall in love again but instead make girls fall in love with them and break their hearts, however now 10 years later they both end up meeting the same girl Simran Kaur Mundi and compete to see who can make her fall in love with them, whoever gets her wins their game but instead both of them fall madly in love with her and then everything changes.",,2014,139,1.4,False,2014-05-30,Mundeyan Ton Bachke Rahin,pa,,8.0,1
Arsho,291917,,,"['Dakssh Ajit Singh', 'Sukhbir Razia', 'Shakti Anand']",,,0,0,A movie by Mannat Singh AKA Sukhi Pawar.,,2014,100,0.6,False,2014-06-13,Arsho,en,,0.0,0
Punjab 1984,276938,https://www.youtube.com/watch?v=1ZbW4agcxaE,Anurag Singh,"['Diljit Dosanjh', 'Sonam Bajwa', 'Kirron Kher', 'Arun Bali', 'Pavan Malhotra', 'Manav Vij', 'Daljinder Basran', 'Arjuna Bhalla', 'Gurucharan Channi', 'Rana Ranbir', 'Kartar Cheema', 'Vishwas Kini']",,"Drama, Family, History",0,0,"This is the story of a mother and her missing son set in the backdrop of 1984 Punjab, when the state was going through a terrible time of terrorism. The film depicts the longing of a mother for her son and her search for her son, who is labelled a terrorist because of the bad times in Punjab.",,2014,159,2.565,False,2014-06-27,Punjab 1984,pa,,8.0,10
ho javey je pyaar,311672,,,"['Zorawar Singh', 'Feroza Kaur Heer', 'Surinder Sharma', 'Bhotu Shah', 'Parminder Gill']",,,0,0,A love story.,,2014,0,0.88,False,2014-07-11,ho javey je pyaar,en,,5.0,1
Yaaran Da Katchup,285958,,,"['Varun Sharma', 'Jaswinder Bhalla', 'Anita Hassanandani Reddy', 'Harrdy Sandhu']",,,0,0,"When Catchup turns Ketchup, we get 'Yaaran Da Katchup' - a story of 3 college friends Hardy Gill (Hardy Sandhu), Arjun Singh (Anil Juneja) and Fateh King (Varun Sharma).",,2014,0,1.4,False,2014-07-18,Yaaran Da Katchup,pa,,8.0,1
Paisa Yaar N Panga,313564,,,['Flora Saini'],,,0,0,"Punjabi comedy film directed by Virender Singh and produced by Bharat Arora, Arvinder Singh, Gurprit Singh Gujral, Starring Gavie Chahal, Mukul Dev, Khushboo Grewal,Flora Saini, Karan Sekhon (Debut), Veer Vashisht. Movie is produced under banner Blockbuster Motion Pictures. The film revolving around 3 best buddies, but the thriller comes when Mukul Dev enters in their lives.",,2014,0,0.6,False,2014-08-01,Paisa Yaar N Panga,pa,,8.5,1
Aa Gaye Munde U.K. De,285543,,Manmohan Singh,"['Neeru Bajwa', 'Gurpreet Ghuggi', 'Binnu Dhillon', 'Rana Ranbir', 'Jimmy Shergill']",,"Music, Romance",0,0,A romantic comedy set in the lush fields of Punjab and the beautiful city of Chandigarh - Aa Gaye Munde U.K. De is a sequel to the earlier blockbuster Munde U.K. De also Directed by the Doyen of Punjabi cinema - Manmohan Singh.,,2014,132,1.4,False,2014-08-08,Aa Gaye Munde U.K. De,en,,4.9,4
Control Bhaji Control,300950,https://www.youtube.com/watch?v=AZUmIE8pugg,Gaurav Singh,"['Karan Kundra', 'Nachattar Gill', 'B.N. Sharma', 'Upasna Singh']",,Comedy,0,0,Dicky and Vicky are the naughtiest guys of the town who always think to con and fool their father Mr.Brar and other people around them. They simultaneously fool the family of Sandy and Mandy to stay in their house coz they have fallen in love with the girls. They are given hard times by Jeet and his son Sunny. They create another series of lies to get rid of them. The situations become funny and complicated as the lies told by Dicky and Vicky start appearing as the true stories and they find themselves in confusing desi situations.,,2014,143,0.6,False,2014-08-22,Control Bhaji Control,hi,,0.0,0
Double Di Trouble,288790,https://www.youtube.com/watch?v=hfoakivK9eU,Smeep Kang,"['Gippy Grewal', 'Dharmendra', 'Minissha Lamba', 'Kulraj Randhawa', 'Gurpreet Ghuggi', 'Poonam Dhillon', 'B.N. Sharma', 'Karamjit Anmol', 'Neha Dhupia', 'Jazzy B', 'Avtar Gill']",,Comedy,0,0,"The film is based on Comedy of Errors, Shakespeare's well-known play, takes a Desi avatar when father-son pair discover their mirror images in a different city. The riot of laughter begins when the people around this duplicate duo keep confusing between the two!",,2014,108,1.214,False,2014-08-29,Double Di Trouble,pa,,8.0,1
Goreyan Nu Daffa Karo,291345,https://www.youtube.com/watch?v=fxV0bzCqrkM,Pankaj Batra,"['Amrinder Gill', 'Yograj Singh', 'Binnu Dhillon', 'Rana Ranbir', 'Karamjit Anmol', 'Amy Maghera', 'Terence Hill']",,,0,0,A conservative Indian family experiences a culture shock when it agrees to participate in a Canadian wedding.,,2014,134,2.012,False,2014-09-12,Goreyan Nu Daffa Karo,en,,7.6,5
IDIOT BOYS,314429,,,[],,,0,0,"Starring: MEET SURMIT, RAMMI MITTAL, DILJOTT, RAMA VIJ, DARSHAN AULAKH",,2014,110,0.6,False,2014-09-26,IDIOT BOYS,en,,8.2,2
Yoddha: The Warrior,301276,https://www.youtube.com/watch?v=-32fF2BewWc,Mandeep Benipal,"['Kuljinder Singh Sidhu', 'Unnati Davara', 'Rahul Dev', 'Nissar Khan', 'Girja Shankar', 'Mahabir Bhullar', 'Hardeep Gill', 'Dinesh Sood', 'Zafar Khan', 'Sandeep Kapoor', 'Sanjeev Joshi', 'Ajay Jethi', 'Haktor Sandhu', 'Darshan Gharu', 'Kaka Kautki', 'Inderjeet Saharan', 'Bhuvan Azad', 'Preet Punj', 'Virsa Sidhu', 'Daman Singh Sandhu', 'Tunisha Sharma', 'Dharsh Bhatti', 'Vicky', 'Pradeep Kumar', 'Sanju Shahi']",,"Action, Crime, Drama",0,0,"Yoddha The Warrior is the story of a warrior who rises to revenge wrongdoers, with Rahul Dev essaying the role of a antagonist.",,2014,118,2.39,False,2014-10-31,Yoddha: The Warrior,pa,,0.0,0
Chaar Sahibzaade,303457,https://www.youtube.com/watch?v=V60VT6WvHE4,Harry Baweja,"['Om Puri', 'Harman Baweja']",,"Action, Adventure, Animation, Documentary, Family, History",0,0,"Chaar Sahibzaade is the first photo realistic' 3D animation film in S-3D on Sikh history. It is the real story of the sacrifices of the four sons of Guru Gobind Singh ji (tenth guru of Sikhs)- Baba Ajit Singh ji, Baba Jujhar Singh ji, Baba Zorawar Singh ji and Baba Fateh Singh ji.",,2014,134,1.325,False,2014-11-06,Chaar Sahibzaade,pa,,5.8,12
Baaz,307916,https://www.youtube.com/watch?v=UnXAX56kXKs,Simerjit Singh,"['Babbu Mann', 'Mukul Dev', 'Pooja Verma', 'Yograj Singh', 'Sardar Sohi', 'Rana Ranbir']",,"Action, Crime, Drama",0,0,"Baaz is the story of SP Inder Pal Singh Sidhu. Sidhu is a man on a mission. With complete honesty and full determination, he vows to fight against evil. The movie focuses on the political influence and corruption prevailing in Police. It revolves around Darbara Singh, a businessman cum leader, who is a drug mafia and uses his influence to run his illegal activities right under the nose of Police.",,2014,141,1.4,False,2014-11-07,Baaz,pa,Keh Deyo Sareya Nu - Sidhu Aa gaya,7.0,1
