Title,Id,Trailer Link,Director,Cast,genre_ids,Genre,Budget,Revenue,Overview,Homepage,Year,Runtime,Popularity,Adult,Release_Date,Original_Title,Original_Language,Tagline,Vote_Average,Vote_Count
Silly Fellows,548382,https://www.youtube.com/watch?v=cbMOrolIzVQ,Bhimaneni Srinivasa Rao,"['Allari Naresh', 'Sunil Varma', 'Brahmanandam', 'Chitra Shukla', 'Nandini Rai', 'Jayaprakash Reddy']",,Comedy,0,0,"An influential politician on his deathbed reveals the whereabouts of an illegal money stash to his trusted aide, a local MLA who becomes amnesiac after meeting with an accident.",,2018,122,0.929,False,2018-09-07,Silly Fellows,te,,4.0,1
Enduko Emo,504457,https://www.youtube.com/watch?v=mr-AbUfWnWM,Koti Vaddineni,"['Nandu Vijay Krishna', 'Noel Sean', 'Punarnavi Bhupalam']",,,0,0,Enduko Emo is an upcoming Telugu Film.,,2018,0,0.849,False,2018-03-16,Enduko Emo,te,,0.0,0
Shailaja Reddy Alludu,536429,https://www.youtube.com/watch?v=0Mn4jhBI3mQ,Maruthi Dasari,"['Naga Chaitanya Akkineni', 'Anu Emmanuel', 'Ramya Krishnan', 'Vennela Kishore', 'Kalyani Natarajan', 'Prudhviraj', 'Raghu Babu', 'Rahul Ramakrishna', 'Naresh', 'Murali Sharma', 'Madhunandan', 'Saranya Pradeep', 'Dasari Arun Kumar']",,"Comedy, Drama",0,0,Chaitanya and Anu are neighbours who fall for each other. However their path towards marriage is far from easy. A haughty would-be mother-in-law complicates the proceedings. The couple put up a united front to clear their roadblocks.,,2018,148,1.71,False,2018-08-31,శైలజారెడ్డి అల్లుడు,te,,4.625,8
U-Turn,847732,https://www.youtube.com/watch?v=ckxsrwdF9sE,Arif Khan,"['Alaya F', 'Priyanshu Painyuli', 'Rajesh Sharma', 'Manu Rishi Chadha', 'Aashim Gulati']",,"Horror, Mystery, Thriller",0,0,"Radhika, a journalism intern is investigating bike riders violating traffic on a city flyover, turns sinister when she becomes prime suspect in the mysterious death of one of the motorists, she is forced to prove her innocence and find the real culprit.",https://www.zee5.com/global/movies/details/u-turn/0-0-1z5343289,2023,101,17.686,False,2023-04-28,U-Turn,hi,,4.5,3
Ee Maaya Peremito,549938,https://www.youtube.com/watch?v=_uVpM8PTk20,Ramu Koppula,"['Rahul Vijay', 'Kavya Thapar', 'Rajendra Prasad', 'Nani', 'Murali Sharma', 'Easwari Rao']",,,0,0,Sri Ramachandra Murthy aka Chandu is a happy-go-lucky ‘rebel’ with no ambition in life. Sheetal Jain is the precious daughter of Pramod Jain. She falls in love with Chandu’s good nature but what happens when her father decides that he needs to change to be worthy of his daughter.,,2018,145,0.969,False,2018-09-21,Ee Maaya Peremito,te,,7.5,2
Nannu Dochukunduvate,549733,,R. S. Naidu,"['Sudheer Babu', 'Nabha Natesh', 'Nassar', 'Viva Harsha', 'Venu Tillu', 'Varshini Sounderajan', 'Pramodini Pammi', 'Babloo Prithiveeraj', 'Tulasi', 'Nellore Sudharshan', 'Jeeva', 'Rajsekhar Aningi', 'Prabhas Sreenu', 'Tarzan', 'Chalapathi Rao', 'Madhumani', 'Rajshri Nair']",,Romance,0,50,"A self-obsessed software engineer Karthik and an oversmart short-film star Meghana come together to stage a relationship to confront a possible family crisis. However, the two go beyond merely acting like a couple, eventually enjoy each other’s company and of course, their miscommunication creates a conflict and the two unlike poles finally meet.",,2018,145,2.044,False,2018-09-20,నన్ను దోచుకుందువటే,te,Happy Go Lucky Employee,6.9,8
Devadas,1115734,,Crossbelt Mani,"['Venu Nagavalli', 'Parvathy', 'Ramya Krishnan', 'Madhu', 'Jagathy Sreekumar', 'Bahadoor', 'Nedumudi Venu', 'Balan K Nair']",,,0,0,The life of Devadas descends into chaos as he turns to alcohol and a lifestyle of vice to numb the pain after his affluent family forbids him from marrying the woman he loves.,,1989,0,0.6,False,1989-12-29,Devadas,ml,,0.0,0
Natakam,551508,https://www.youtube.com/watch?v=vjNovuLwF3E,Kalyanji Gogana,"['Ashish Gandhi', 'Ashima Narwal', 'Jeeva', 'Ravi Prakash', 'Manava Koteswara Rao']",,"Action, Horror",0,0,"Hailing from Chintakapudi village, Bala Koteswara Rao falls in love with the mysterious Parvati at first sight, who reciprocates to his love. Having never seen Parvati before in his village, Koti begins to dig deep into her past to learn about her.",,2018,139,1.508,False,2018-09-28,నాటకం,te,,0.0,0
Desamlo Dongalu Paddaru,551946,,Gouthama rajkumar,"['Mohammed Ali', 'Ali Basha', 'Tanishq Rajan']",,Drama,0,0,,,2018,0,1.13,False,2018-10-04,Desamlo Dongalu Paddaru,te,,8.0,1
Bhale Manchi Chowka Beram,553724,,Murali Krishna Mudidani,"['Kerintha Nookaraju', 'Yamini Bhaskar', 'Mujtaba Ali Khan', 'Raja Ravindra', 'Parvateesam']",,"Drama, Comedy",0,0,"Courier boy Saleem and cab driver Parthu are roommates who lie to their parents about being in Dubai and live in Hyderabad instead. When they come in possession of Desa Rahasyalu, written by an ex-Army major Yakub Khan, they perceive it to be something more than what it is and try to sell it to Pakistan.",,2018,140,0.85,False,2018-10-05,Bhale Manchi Chowka Beram,te,,0.0,0
